id,name,team,position,y1_points,y1_rank,y2_points,y2_rank,y3_points,y3_rank,y1_average,y2_average,y3_average,y1_games,y2_games,y3_games,y1_price,y2_price,y3_price
1629717,Armoni Brooks,Toronto Raptors,G,685.5,326,460.5,332,0.0,365,12.7,23.0,0.0,54,20,0,0,0,0
1629083,Arnoldas Kulboka,Charlotte Hornets,F,-1.0,502,0.0,433,0.0,365,-0.5,0.0,0.0,2,0,0,0,0,0
1630559,Austin Reaves,Los Angeles Lakers,G,1233.0,238,0.0,433,0.0,365,20.2,0.0,0.0,61,0,0,0,0,0
203085,Austin Rivers,Minnesota Timberwolves,G,960.0,283,703.5,304,1370.5,194,14.3,19.5,20.2,67,36,68,0,0,0
202340,Avery Bradley,Los Angeles Lakers,G,943.5,288,418.0,338,933.0,238,15.2,15.5,19.0,62,27,49,0,1,0
1630245,Ayo Dosunmu,Chicago Bulls,G,1994.5,138,0.0,433,0.0,365,25.9,0.0,0.0,77,0,0,0,0,0
1628389,Bam Adebayo,Miami Heat,C-F,3164.5,45,3895.0,13,4171.0,8,56.5,60.9,57.9,56,64,72,92,128,23
203463,Ben McLemore,Portland Trail Blazers,G,1170.0,246,745.0,298,1420.5,188,18.3,14.1,20.0,64,53,71,0,0,0
1627732,Ben Simmons,Brooklyn Nets,G-F,0.0,500,2975.0,41,3552.5,20,0.0,51.3,62.3,0,58,57,0,138,105
201933,Blake Griffin,Brooklyn Nets,F,1105.5,258,1340.5,194,579.5,275,19.7,29.1,32.2,56,46,18,0,20,51
1626246,Boban Marjanovic,Houston Rockets,C,185.0,420,464.5,331,814.5,249,8.0,14.1,18.5,23,33,44,0,0,0
1626171,Bobby Portis,Milwaukee Bucks,F,2984.5,55,2166.5,97,1670.0,153,41.5,32.8,25.3,72,66,66,2,0,0
203992,Bogdan Bogdanovic,Atlanta Hawks,G,2184.5,119,1680.5,146,2087.0,103,34.7,38.2,34.2,63,44,61,3,21,1
202711,Bojan Bogdanovic,Utah Jazz,F,2312.5,101,2270.5,81,2247.5,82,33.5,31.5,35.7,69,72,63,5,16,7
1629626,Bol Bol,Orlando Magic,C-F,88.0,451,158.5,396,107.5,337,6.3,5.0,15.4,14,32,7,0,0,0
203078,Bradley Beal,Washington Wizards,G,2123.0,123,3692.5,17,3605.0,19,53.1,61.5,63.2,40,60,57,0,101,132
1630527,Brandon Boston Jr.,None,None,772.5,315,0.0,433,0.0,365,15.1,0.0,0.0,51,0,0,0,0,0
1629634,Brandon Clarke,Memphis Grizzlies,F,2088.0,127,1898.0,116,1931.5,115,32.6,32.2,33.3,64,59,58,0,4,0
1627742,Brandon Ingram,New Orleans Pelicans,F,2860.0,62,3148.5,33,3230.5,29,52.0,51.6,52.1,55,61,62,73,75,7
1628968,Brian Bowen II,Indiana Pacers,F-G,0.0,500,6.0,431,16.0,360,0.0,1.0,2.7,0,6,6,0,0,0
1630271,Brodric Thomas,Boston Celtics,G,61.5,459,328.5,354,0.0,365,5.1,10.3,0.0,12,32,0,0,0,0
201572,Brook Lopez,Milwaukee Bucks,C,375.0,384,2244.0,84,2410.5,70,28.8,32.1,35.4,13,70,68,0,7,18
1628971,Bruce Brown,Denver Nuggets,G-F,2101.0,125,1813.0,127,1774.5,140,29.2,27.9,30.6,72,65,58,0,0,0
1628981,Bruno Fernando,Houston Rockets,F-C,265.5,403,169.0,393,774.5,255,8.8,5.1,13.8,30,33,56,0,0,0
1627854,Bryn Forbes,Minnesota Timberwolves,G,1200.0,243,1247.0,209,1355.0,197,16.0,17.8,21.5,75,70,63,0,0,0
1627741,Buddy Hield,Indiana Pacers,G,2705.0,78,2659.0,55,2774.0,44,33.4,37.5,38.5,81,71,72,36,53,50
1629604,CJ Elleby,Minnesota Timberwolves,F-G,1017.0,273,170.0,392,0.0,365,17.5,5.7,0.0,58,30,0,0,0,0
203468,CJ McCollum,New Orleans Pelicans,G,3113.0,46,2418.5,68,3416.5,24,50.2,51.5,48.8,62,47,70,54,42,36
1630595,Cade Cunningham,Detroit Pistons,G,2864.0,61,0.0,433,0.0,365,44.8,0.0,0.0,64,0,0,21,0,0
1628997,Caleb Martin,Miami Heat,F,1465.0,206,763.5,296,300.5,314,24.4,14.4,16.7,60,53,18,0,0,0
1629629,Cam Reddish,New York Knicks,F-G,1012.0,277,645.5,311,1371.0,193,20.7,24.8,23.6,49,26,58,0,7,0
1630560,Cam Thomas,Brooklyn Nets,G,1165.5,247,0.0,433,0.0,365,17.4,0.0,0.0,67,0,0,0,0,0
1629661,Cameron Johnson,Phoenix Suns,F,1874.5,148,1308.0,199,1246.5,207,28.4,21.8,21.9,66,60,57,0,0,0
1628419,Cameron Oliver,Atlanta Hawks,F,58.5,461,127.5,400,0.0,365,29.2,31.9,0.0,2,4,0,0,0,0
1626166,Cameron Payne,Phoenix Suns,G,1760.0,163,1502.5,170,234.5,323,30.3,25.0,29.3,58,60,8,0,0,0
1627747,Caris LeVert,Cleveland Cavaliers,G,2277.5,105,2345.5,73,1878.0,122,39.3,49.9,41.7,58,47,45,11,20,13
1630637,Carlik Jones,Chicago Bulls,G,15.5,486,0.0,433,0.0,365,3.1,0.0,0.0,5,0,0,0,0,0
2546,Carmelo Anthony,Los Angeles Lakers,F,2034.0,130,1960.5,109,2005.5,106,29.5,28.4,34.6,69,69,58,0,4,0
