name,season,fp,games,pergfp,price,fppd
Mike Muscala,2020-2021,715.5,35,20.4,,
Mike Muscala,2021-2022,824.0,43,19.2,,
Mike Muscala,2016-2017,1335.0,70,19.1,,
Mike Muscala,2015-2016,615.5,59,10.4,,
Mike Muscala,2013-2014,161.5,18,9.0,,
Mike Muscala,2017-2018,1121.0,53,21.2,,
Mike Muscala,2014-2015,625.0,40,15.6,,
Miles Bridges,2018-2019,1731.0,80,21.6,,
Miles Bridges,2019-2020,2040.5,65,31.4,1.0,2040.5
Miles Bridges,2020-2021,2309.0,66,35.0,3.0,769.7
Miles Bridges,2021-2022,4036.0,80,50.4,1.0,4036.0
Miles McBride,2021-2022,277.0,40,6.9,,
Mitchell Robinson,2020-2021,1088.0,31,35.1,24.0,45.3
Mitchell Robinson,2021-2022,2751.0,72,38.2,,
Mitchell Robinson,2018-2019,2289.5,66,34.7,,
Mitchell Robinson,2019-2020,2277.5,61,37.3,61.0,37.3
Miye Oni,2019-2020,89.5,10,9.0,,
Miye Oni,2020-2021,338.5,54,6.3,,
Miye Oni,2021-2022,20.0,16,1.2,,
Mo Bamba,2018-2019,1020.0,47,21.7,,
Mo Bamba,2019-2020,1319.0,62,21.3,,
Mo Bamba,2020-2021,1181.0,46,25.7,,
Mo Bamba,2021-2022,2644.5,71,37.2,2.0,1322.2
Monte Morris,2021-2022,2520.0,75,33.6,,
Monte Morris,2020-2021,1258.5,47,26.8,,
Monte Morris,2019-2020,1864.5,73,25.5,,
Monte Morris,2018-2019,2356.5,82,28.7,,
Monte Morris,2017-2018,42.0,3,14.0,,
Montrezl Harrell,2015-2016,387.0,39,9.9,,
Montrezl Harrell,2016-2017,1448.0,58,25.0,,
Montrezl Harrell,2017-2018,2058.0,76,27.1,,
Montrezl Harrell,2018-2019,3747.0,82,45.7,,
Montrezl Harrell,2019-2020,2940.0,63,46.7,52.0,56.5
Montrezl Harrell,2020-2021,2462.0,69,35.7,19.0,129.6
Montrezl Harrell,2021-2022,2559.5,71,36.0,,
Moritz Wagner,2021-2022,1319.5,63,20.9,,
Moritz Wagner,2020-2021,804.0,45,17.9,,
Moritz Wagner,2018-2019,443.5,43,10.3,,
Moritz Wagner,2019-2020,1041.0,45,23.1,,
Moses Brown,2019-2020,33.5,9,3.7,,
Moses Brown,2020-2021,1420.0,43,33.0,,
Moses Brown,2021-2022,503.5,40,12.6,,
Moses Moody,2021-2022,501.0,52,9.6,,
Moses Wright,2021-2022,19.0,4,4.8,,
Mychal Mulder,2021-2022,121.5,17,7.1,,
